"junction_name","junction_order_direction","junction_order"
J1,NB,1
J2,NB,2
J4,NB,3
J5,NB,4
J6,NB,5
J6A,NB,6
J7,NB,7
J8,NB,8
J9,NB,9
J10,NB,10
J11,NB,11
J11A,NB,12
J12,NB,13
J13,NB,14
J14,NB,15
J15,NB,16
J15A,NB,17
J16,NB,18
J17,NB,19
J18,NB,20
J19,NB,21
J20,NB,22
J21,NB,23
J21A,NB,24
J22,NB,25
J23,NB,26
J23A,NB,27
J24,NB,28
J24A,NB,29
J25,NB,30
J26,NB,31
J27,NB,32
J28,NB,33
J29,NB,34
J29A,NB,35
J30,NB,36
J31,NB,37
J32,NB,38
J33,NB,39
J34,NB,40
J35,NB,41
J35A,NB,42
J36,NB,43
J37,NB,44
J38,NB,45
J39,NB,46
J40,NB,47
J41,NB,48
J42,NB,49
J43|44,NB,50
J45,NB,51
J46,NB,52
J47,NB,53
J48,NB,54
J1,SB,54
J2,SB,53
J4,SB,52
J5,SB,51
J6,SB,50
J6A,SB,49
J7,SB,48
J8,SB,47
J9,SB,46
J10,SB,45
J11,SB,44
J11A,SB,43
J12,SB,42
J13,SB,41
J14,SB,40
J15,SB,39
J15A,SB,38
J16,SB,37
J17,SB,36
J18,SB,35
J19,SB,34
J20,SB,33
J21,SB,32
J21A,SB,31
J22,SB,30
J23,SB,29
J23A,SB,28
J24,SB,27
J24A,SB,26
J25,SB,25
J26,SB,24
J27,SB,23
J28,SB,22
J29,SB,21
J29A,SB,20
J30,SB,19
J31,SB,18
J32,SB,17
J33,SB,16
J34,SB,15
J35,SB,14
J35A,SB,13
J36,SB,12
J37,SB,11
J38,SB,10
J39,SB,9
J40,SB,8
J41,SB,7
J42,SB,6
J43|44,SB,5
J45,SB,4
J46,SB,3
J47,SB,2
J48,SB,1
